Source:,bs4_data_python,,,,,,,,,,,,Legend:,< Min Count
Weighted By:,LENGTH,,,,,,,,,,,,,< Min Value
Condition:,$v > 0,,,,,,,,,,,,,Marginal
,,,,,,,,,,,,,,Out Of Range
,,,,,,,,,,,,,,High Values
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
j3 (232),Number Of Samples,9124,9099,9099,9099,9099,9099,9099,8996,9099,9099,9099,9099,3071
j3 (232),Minimum,1.00,28.51,0.54,0.44,0.009,0.01,0.01,0.001,0.01,0.01,0.01,96.52,0.180
j3 (232),Maximum,2.00,68.54,37.37,20.78,0.657,6.85,12.75,0.844,1.39,0.86,1.72,101.94,6.300
j3 (232),Range,1.00,40.03,36.83,20.34,0.648,6.85,12.75,0.843,1.39,0.86,1.71,5.42,6.120
j3 (232),Mean,1.99,61.23,3.73,3.10,0.162,0.03,4.98,0.022,0.07,0.07,0.05,100.10,0.714
j3 (232),Standard Deviation,0.08,3.74,2.82,1.90,0.040,0.13,1.55,0.034,0.07,0.06,0.06,0.38,0.496
j3 (232),Variance,0.01,13.99,7.97,3.62,0.002,0.02,2.41,0.001,0.00,0.00,0.00,0.14,0.246
j3 (232),Coef. Of Variance,0.04,0.06,0.76,0.61,0.250,3.78,0.31,1.560,0.91,0.87,1.37,0.00,0.695
j3 (232),Skewness,-12.96,-2.03,2.55,2.46,0.897,27.80,1.73,9.036,4.82,3.63,8.76,0.01,2.918
j3 (232),Median,2.00,62.20,2.95,2.60,0.161,0.02,4.62,0.011,0.05,0.06,0.03,100.04,0.570
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
j2 (242),Number Of Samples,13089,13071,13071,13071,13066,13071,13071,12922,13071,13071,13071,13071,5747
j2 (242),Minimum,1.00,26.98,0.50,0.13,0.032,0.01,1.25,0.001,0.01,0.01,0.01,97.57,0.060
j2 (242),Maximum,2.00,68.55,40.76,18.42,0.743,7.19,13.02,0.328,0.89,1.03,2.88,101.76,3.510
j2 (242),Range,1.00,41.57,40.26,18.29,0.711,7.19,11.77,0.327,0.89,1.03,2.88,4.19,3.450
j2 (242),Mean,1.99,63.16,2.80,1.73,0.144,0.05,4.65,0.015,0.04,0.06,0.04,100.13,0.464
j2 (242),Standard Deviation,0.10,2.62,2.49,1.03,0.040,0.18,1.32,0.018,0.04,0.04,0.06,0.36,0.248
j2 (242),Variance,0.01,6.88,6.19,1.07,0.002,0.03,1.74,0.000,0.00,0.00,0.00,0.13,0.062
j2 (242),Coef. Of Variance,0.05,0.04,0.89,0.60,0.280,3.25,0.28,1.201,0.93,0.74,1.56,0.00,0.535
j2 (242),Skewness,-10.12,-2.41,3.63,3.26,1.038,22.46,1.45,4.327,8.03,5.13,17.33,0.45,3.065
j2 (242),Median,2.00,63.67,2.07,1.51,0.141,0.03,4.45,0.009,0.04,0.05,0.02,100.05,0.400
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
j1 (252),Number Of Samples,3106,3093,3093,3093,3086,3093,3093,3077,3093,3093,3092,3093,1121
j1 (252),Minimum,1.00,33.25,0.73,0.47,0.043,0.01,2.48,0.001,0.01,0.01,0.01,98.04,0.170
j1 (252),Maximum,2.00,66.07,46.86,14.43,0.612,6.64,12.50,0.389,1.11,1.32,1.77,101.98,4.060
j1 (252),Range,1.00,32.82,46.13,13.96,0.569,6.64,10.02,0.388,1.11,1.32,1.77,3.94,3.890
j1 (252),Mean,1.99,59.72,4.35,3.40,0.163,0.08,6.13,0.028,0.08,0.08,0.04,100.10,0.795
j1 (252),Standard Deviation,0.09,3.54,3.07,1.66,0.051,0.24,1.70,0.032,0.06,0.08,0.07,0.38,0.438
j1 (252),Variance,0.01,12.53,9.41,2.75,0.003,0.06,2.88,0.001,0.00,0.01,0.01,0.15,0.192
j1 (252),Coef. Of Variance,0.04,0.06,0.71,0.49,0.313,2.87,0.28,1.137,0.71,1.00,1.71,0.00,0.551
j1 (252),Skewness,-11.32,-1.38,3.03,1.43,1.097,13.41,0.92,3.395,7.18,4.53,10.94,0.17,1.706
j1 (252),Median,2.00,60.53,3.56,3.06,0.155,0.04,5.77,0.018,0.07,0.06,0.02,100.04,0.670
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
jof (265),Number Of Samples,20115,19987,19987,19987,19981,19987,19987,19731,19987,19980,19987,19987,9764
jof (265),Minimum,0.70,6.63,0.55,0.14,0.011,0.00,0.01,0.001,0.01,0.01,0.01,96.04,0.020
jof (265),Maximum,7.00,67.43,49.00,31.20,6.030,7.33,19.52,3.420,5.65,4.68,8.40,107.97,8.810
jof (265),Range,6.30,60.80,48.45,31.06,6.019,7.33,19.52,3.419,5.65,4.68,8.40,11.93,8.790
jof (265),Mean,1.99,57.61,6.64,3.07,0.109,0.03,7.07,0.039,0.20,0.09,0.09,100.00,0.741
jof (265),Standard Deviation,0.13,4.42,4.06,2.05,0.083,0.15,2.48,0.045,0.27,0.12,0.27,0.35,0.478
jof (265),Variance,0.02,19.56,16.49,4.20,0.007,0.02,6.14,0.002,0.07,0.01,0.07,0.12,0.229
jof (265),Coef. Of Variance,0.07,0.08,0.61,0.67,0.768,5.12,0.35,1.154,1.35,1.43,2.83,0.00,0.646
jof (265),Skewness,8.70,-1.65,1.81,3.00,38.745,30.83,0.39,32.463,5.09,13.41,13.91,0.42,4.114
jof (265),Median,2.00,58.17,5.72,2.61,0.101,0.02,6.62,0.032,0.11,0.06,0.04,100.00,0.620
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
ws2 (302),Number Of Samples,5954,5932,5932,5932,5932,5932,5932,5875,5932,5932,5932,5932,2795
ws2 (302),Minimum,0.80,14.92,0.80,0.65,0.017,0.01,2.36,0.001,0.01,0.01,0.01,97.70,0.001
ws2 (302),Maximum,2.00,65.62,45.70,28.41,0.513,14.45,13.48,0.820,1.74,0.86,1.06,103.61,39.850
ws2 (302),Range,1.20,50.70,44.90,27.76,0.496,14.45,11.12,0.819,1.74,0.86,1.06,5.91,39.849
ws2 (302),Mean,1.99,55.72,5.71,4.74,0.206,0.20,8.72,0.042,0.12,0.10,0.05,100.02,1.178
ws2 (302),Standard Deviation,0.10,3.77,3.05,2.08,0.061,0.59,1.61,0.054,0.07,0.09,0.07,0.37,1.011
ws2 (302),Variance,0.01,14.20,9.33,4.31,0.004,0.35,2.60,0.003,0.00,0.01,0.00,0.14,1.023
ws2 (302),Coef. Of Variance,0.05,0.07,0.53,0.44,0.296,3.00,0.18,1.284,0.56,0.95,1.31,0.00,0.858
ws2 (302),Skewness,-10.13,-1.07,2.38,1.42,0.828,10.07,-0.46,2.630,5.99,2.18,4.56,0.60,23.322
ws2 (302),Median,2.00,56.13,5.07,4.40,0.198,0.06,8.83,0.016,0.11,0.07,0.03,100.00,1.030
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
ws1 (312),Number Of Samples,2834,2829,2829,2829,2829,2829,2829,2824,2829,2829,2829,2829,1287
ws1 (312),Minimum,1.00,33.66,0.69,0.30,0.026,0.01,2.11,0.001,0.01,0.01,0.01,97.76,0.001
ws1 (312),Maximum,2.00,67.71,41.37,17.91,0.511,20.79,12.87,0.563,1.64,0.80,3.36,119.07,3.900
ws1 (312),Range,1.00,34.05,40.68,17.61,0.485,20.78,10.76,0.562,1.64,0.80,3.36,21.31,3.899
ws1 (312),Mean,1.99,60.20,3.97,2.42,0.161,0.24,6.63,0.019,0.06,0.07,0.04,100.10,0.704
ws1 (312),Standard Deviation,0.08,3.67,3.14,1.55,0.049,0.87,2.00,0.034,0.07,0.06,0.09,0.65,0.378
ws1 (312),Variance,0.01,13.43,9.84,2.39,0.002,0.76,4.00,0.001,0.00,0.00,0.01,0.42,0.143
ws1 (312),Coef. Of Variance,0.04,0.06,0.79,0.64,0.307,3.66,0.30,1.755,1.19,0.87,2.26,0.01,0.536
ws1 (312),Skewness,-13.16,-1.26,3.38,2.20,0.623,11.60,0.37,6.565,9.52,3.84,24.60,14.69,2.489
ws1 (312),Median,2.00,60.99,3.05,2.02,0.158,0.07,6.36,0.009,0.04,0.06,0.03,100.02,0.590
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
